Hour,CATEGORY,trips,total_miles,avg_miles
0,Business,7,48.3,6.9
1,Business,1,17.1,17.1
2,Business,1,159.3,159.3
3,Business,2,11.5,5.75
5,Business,1,14.4,14.4
6,Business,1,8.4,8.4
7,Business,2,15.4,7.7
8,Business,9,84.5,9.39
9,Business,12,139.5,11.62
10,Business,8,70.7,8.84
11,Business,7,58.6,8.37
12,Business,19,256.6,13.51
13,Business,21,155.7,7.41
14,Business,22,243.4,11.06
15,Business,19,128.9,6.78
16,Business,20,290.5,14.52
17,Business,18,91.9,5.11
18,Business,19,119.2,6.27
19,Business,14,246.2,17.59
20,Business,22,133.6,6.07
21,Business,16,120.3,7.52
22,Business,9,45.6,5.07
23,Business,11,232.5,21.14
